"","common name","scientific name","kingdom","phylum","class","order","family","genus","longitude","latitude","ssp","Depth method","S Thermal safety margin","S Conservation status","S Vertical habitat","S Cumulative impacts","AC Habitat fragmentation","AC Geographic range extent","AC Maximum body length","AC Thermal habitat availability","E Time of climate emergence","E Thermal habitat loss","E Fraction of species lost","E Climate velocity","Sensitivity","Sensitivity SD","Adaptive capacity","Adaptive capacity SD","Exposure","Exposure SD","Vulnerability","Vulnerability SD","S Thermal safety margin risk","S Conservation status risk","S Vertical habitat risk","S Cumulative impacts risk","AC Habitat fragmentation risk","AC Geographic range extent risk","AC Maximum body length risk","AC Thermal habitat availability risk","E Time of climate emergence risk","E Thermal habitat loss risk","E Fraction of species lost risk","E Climate velocity risk","Sensitivity risk","Adaptive capacity risk","Exposure risk","Overall Risk"
"32","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.375,67.875,"SSP5-8.5","SST",0.002463379,0,0.078237986,0.772616097,0.966495335,0.205094997,0.504152423,0.205833083,0.069483451,0.337220067,0.430772955,0.047556324,0.213329365,0.374622126,0.470393959,0.359458948,0.221258199,0.191964844,0.361495251,0.442244031,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"33","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.375,67.625,"SSP5-8.5","SST",0.002181673,0,0.078237986,0.705500199,0.966495335,0.205094997,0.504152423,0.182018219,0.069483451,0.337220067,0.404744049,0.003242314,0.196479964,0.34129116,0.464440243,0.365448824,0.203672471,0.197014112,0.360277087,0.433738535,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"34","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-59.125,67.625,"SSP5-8.5","SST",0.002117429,0,0.078237986,0.729141353,0.966495335,0.205094997,0.504152423,0.179635366,0.069483451,0.337220067,0.413440109,0.002451575,0.202374192,0.353058788,0.46384453,0.366064078,0.205648801,0.200265108,0.362821858,0.434780917,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"35","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.875,67.625,"SSP5-8.5","SST",0.002162171,0,0.078237986,0.7380247,0.966495335,0.205094997,0.504152423,0.186338688,0.069483451,0.337220067,0.414243803,0.005364754,0.204606214,0.357468649,0.465520361,0.364340563,0.206578019,0.199561286,0.36250464,0.436140182,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"36","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.625,67.625,"SSP5-8.5","SST",0.002259284,0,0.078237986,0.746934137,0.966495335,0.205094997,0.504152423,0.189556789,0.069483451,0.337220067,0.418272371,0.014068006,0.206857852,0.361882213,0.466324886,0.363521221,0.209760974,0.198070984,0.362458658,0.436606588,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"37","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.375,67.625,"SSP5-8.5","SST",0.00233414,0,0.089407305,0.754334523,0.966495335,0.205094997,0.504152423,0.196956439,0.069483451,0.337220067,0.421029489,0.011949412,0.211518992,0.364261148,0.468174798,0.361657355,0.209920605,0.199739248,0.362667319,0.433355038,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"38","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-58.125,67.625,"SSP5-8.5","SST",0.002442515,0,0.130621166,0.759121653,0.966495335,0.205094997,0.504152423,0.204985495,0.069483451,0.337220067,0.430772955,0.010895429,0.223046333,0.362553385,0.470182062,0.359667078,0.212092976,0.203548235,0.363795851,0.417644186,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"39","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-57.875,67.125,"SSP5-8.5","SST",0.002038818,0,0.078237986,0.733729471,0.966495335,0.205094997,0.504152423,0.204716331,0.069483451,0.337220067,0.425618772,0.006374524,0.203501569,0.35535556,0.470114771,0.359733252,0.209674204,0.203211065,0.361524746,0.439194111,"Low","Low","Low","Critical","Low","High","High","Critical","Low","High","High","Low","Low","High","Moderate","Moderate"
"40","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-61.625,66.875,"SSP5-8.5","SST",0.001274231,0,0.639620657,0.633972372,0.966495335,0.205094997,0.504152423,0.156989634,0.069483451,0.337220067,0.556692697,0.073643693,0.318716815,0.367294407,0.458183097,0.372050892,0.259259977,0.234529695,0.395448926,0.284993229,"Low","Low","Moderate","High","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
"41","Atlantic Herring","Clupea harengus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Clupea",-61.375,66.875,"SSP5-8.5","SST",0.001386345,0,0.232922045,0.692708379,0.966495335,0.205094997,0.504152423,0.152561651,0.069483451,0.337220067,0.491475443,0.008382396,0.231754192,0.326220517,0.457076101,0.373250436,0.226640339,0.22708319,0.37324064,0.366532271,"Low","Low","Low","High","Low","High","High","Critical","Low","High","High","Low","Moderate","High","Moderate","Moderate"
